	Location	Link	Job Description	Experience	Skills	Organization
17	Bengaluru	https://www.naukri.com/job-listings-Manager-Machine-Learning-Ensemble-Modeling-classification-Catalyst-Bengaluru-9-to-14-years-030918900731?src=jobsearchDesk&sid=15361454729419&xp=18&px=1	 Deep Learning, Natural Language Processing, Information Retrieval... 	9-14 yrs	machine learning, r, engine calibration, java, c++, ensemble modeling...	Catalyst
18	Bengaluru	https://www.naukri.com/job-listings-Backend-Engineer-Data-Integration-machine-Learning-Artivatic-ai-Bengaluru-3-to-7-years-030918900511?src=jobsearchDesk&sid=15361454729419&xp=19&px=1	Hands-on experience applying advanced statistical learning techniques to different types of data;Strong ...	3-7 yrs	Java, Neo4J, Elastic Search, Spring, SCALA, Rest, Python, Cassandra...	Artivatic.ai
19	Bengaluru	https://www.naukri.com/job-listings-Computer-Vision-Engineer-Machine-Learning-open-Source-Artivatic-ai-Bengaluru-2-to-7-years-030918900510?src=jobsearchDesk&sid=15361454729419&xp=20&px=1	 Python, MATLAB, Image processing, Machine learning, Business process... 	2-7 yrs	Deep Learning, Computer Vision, Algorithms, Machine Learning...	Artivatic.ai
20	Hyderabad	https://www.naukri.com/job-listings-Machine-Learning-Engineer-Lead-Collabera-Technologies-Private-Limited-Hyderabad-7-to-9-years-040918000479?src=jobsearchDesk&sid=15361454729419&xp=21&px=1	2 Good knowledge of topics like convex optimization,  gradient decent,  quadratic programming,  partial ...	7-9 yrs	Machine Learning, Data Mining, Python, Data Extraction, Algorithms...	Collabera Technologies Private Limited
21	Bengaluru	https://www.naukri.com/job-listings-AI-Developer-Machine-Learning-Cognitive-InfoTech-India-Pvt-Ltd-Bengaluru-5-to-10-years-020518007575?src=jobsearchDesk&sid=15361454729419&xp=22&px=1	 Machine Learning, Technology Solutions, Team Leading, Computer Vision... 	5-10 yrs	Machine Learning, NLP, Jenkins, SQL, Docker, Google Cloud Platform, GCP...	Cognitive InfoTech (India) Pvt. Ltd
22	Gurgaon	https://www.naukri.com/job-listings-Principle-Machine-Learning-Engineer-Ecommerce-Strategic-Talent-Partner-Gurgaon-4-to-8-years-030918004450?src=jobsearchDesk&sid=15361454729419&xp=23&px=1	- Masters or MS or PhD degree in related technical field;- Experience distilling and presenting complex ...	4-8 yrs	Deep Learning, Digital Marketing, NLP, Neural Networks, Data Science...	Strategic Talent Partner
23	Singapore	https://www.naukri.com/job-listings-Head-Search-Engineering-Nlp-machine-Learning-Emploi-Consultancy-Singapore-5-to-8-years-310818004721?src=jobsearchDesk&sid=15361454729419&xp=24&px=1	 Deep Learning, Computer Vision, Machine Learning, C++, Neural Networks... 	5-8 yrs	Natural Language Processing, Machine Learning, NLP, Algorithms...	Emploi Consultancy
24	Chennai	https://www.naukri.com/job-listings-LTI-Hiring-Machine-Learning-Chennai-Larsen-Toubro-Infotech-Limited-Chennai-3-to-5-years-030918006418?src=jobsearchDesk&sid=15361454729419&xp=25&px=1	- Experience with lean startup build-measure-learn cycle;- Experience with distributed computational ...	3-5 yrs	Hadoop, Hive, Impala, Deep Learning, NoSQL, Pig, HBase, Java, NLP...	Larsen & Toubro Infotech Limited
25	Mumbai	https://www.naukri.com/job-listings-Java-Developer-Backend-Development-Machine-Learning-python-scala-Confidential-Mumbai-3-to-6-years-060618900143?src=jobsearchDesk&sid=15361454729419&xp=26&px=1	 Hive, Oozie, Hdfs, Mapreduce, Spark, NoSQL, Pig, HBase, YARN, Java 	3-6 yrs	Java, Redis, Solr, Python, SCALA, MySQL, Machine Learning...	Confidential
26	Chennai(Taramani)	https://www.naukri.com/job-listings-Machine-Learning-Engineer-Trainee-Object-Frontier-Software-Pvt-Ltd-Chennai-Taramani-0-to-1-years-030918002954?src=jobsearchDesk&sid=15361454729419&xp=27&px=1	- Experience in gathering and processing raw data at scale including writing scripts, web scraping, ...	0-1 yrs	Deep Learning, Machine Learning, Python, Communication Skills	Object Frontier Software Pvt Ltd
